state,governor,birthday,inaug,years,days,age,miss_riv,region,sex,party
Alabama,Kay Ivey,15-Oct-44,10-Apr-17,72,177,72.48,E,SE,F,Republican
Alaska,Mike Dunleavy,5-May-61,3-Dec-18,57,212,57.58,W,Pac,M,Republican
Arizona,Doug Ducey,9-Apr-64,5-Jan-15,50,271,50.74,W,SW,M,Republican
Arkansas,Asa Hutchinson,3-Dec-50,13-Jan-15,64,41,64.11,W,SE,M,Republican
California,Gavin Newsom,10-Oct-67,7-Jan-19,51,89,51.24,W,Pac,M,Democratic
Colorado,Jared Polis,12-May-75,8-Jan-19,43,241,43.66,W,west,M,Democratic
Connecticut,Ned Lamont,3-Jan-54,9-Jan-19,65,6,65.02,E,NE,M,Democratic
Delaware,John Carney,20-May-56,17-Jan-17,60,242,60.66,E,MAtl,M,Democratic
Florida,Ron DeSantis,14-Sep-78,8-Jan-19,40,116,40.32,E,SE,M,Republican
Georgia,Brian Kemp,2-Nov-63,14-Jan-19,55,73,55.2,E,SE,M,Republican
Hawaii,David Ige,15-Jan-57,1-Dec-14,57,320,57.88,W,Pac,M,Democratic
Idaho,Brad Little,15-Feb-54,7-Jan-19,64,326,64.89,W,west,M,Republican
Illinois,J. B. Pritzker,19-Jan-65,14-Jan-19,53,360,53.98,E,MW,M,Democratic
Indiana,Eric Holcomb,2-May-68,9-Jan-17,48,252,48.69,E,MW,M,Republican
Iowa,Kim Reynolds,4-Aug-59,24-May-17,57,293,57.8,W,MW,F,Republican
Kansas,Laura Kelly,24-Jan-50,14-Jan-19,68,355,68.97,W,MW,F,Democratic
Kentucky,Andy Beshear,29-Nov-77,10-Dec-19,42,11,42.03,E,SE,M,Democratic
Louisiana,John Bel Edwards,16-Sep-66,11-Jan-16,49,117,49.32,W,SE,M,Democratic
Maine,Janet Mills,30-Dec-47,2-Jan-19,71,3,71.01,E,NE,F,Democratic
Maryland,Larry Hogan,25-May-56,21-Jan-15,58,241,58.66,E,MAtl,M,Republican
Massachusetts,Charlie Baker,13-Nov-56,8-Jan-15,58,56,58.15,E,NE,M,Republican
Michigan,Gretchen Whitmer,23-Aug-71,1-Jan-19,47,131,47.36,E,MW,F,Democratic
Minnesota,Tim Walz,6-Apr-64,7-Jan-19,54,276,54.75,W,MW,M,Democratic
Mississippi,Tate Reeves,5-Jun-74,14-Jan-20,45,223,45.61,E,SE,M,Republican
Missouri,Mike Parson,17-Sep-55,1-Jun-18,62,257,62.7,W,MW,M,Republican
Montana,Greg Gianforte,17-Apr-61,4-Jan-21,59,262,59.72,W,west,M,Republican
Nebraska,Pete Ricketts,19-Aug-64,8-Jan-15,50,142,50.39,W,MW,M,Republican
Nevada,Steve Sisolak,26-Dec-53,7-Jan-19,65,12,65.03,W,west,M,Democratic
New Hampshire,Chris Sununu,5-Nov-74,5-Jan-17,42,61,42.17,E,NE,M,Republican
New Jersey,Phil Murphy,16-Aug-57,16-Jan-18,60,153,60.42,E,MAtl,M,Democratic
New Mexico,Michelle Lujan Grisham,24-Oct-59,1-Jan-19,59,69,59.19,W,SW,F,Democratic
New York,Kathy Hochul,27-Aug-58,24-Aug-21,62,362,62.99,E,MAtl,F,Democratic
North Carolina,Roy Cooper,13-Jun-57,1-Jan-17,59,202,59.55,E,SE,M,Democratic
North Dakota,Doug Burgum,1-Aug-56,15-Dec-16,60,136,60.37,W,MW,M,Republican
Ohio,Mike DeWine,5-Jan-47,14-Jan-19,72,9,72.02,E,MW,M,Republican
Oklahoma,Kevin Stitt,28-Dec-72,14-Jan-19,46,17,46.05,W,SW,M,Republican
Oregon,Kate Brown,21-Jun-60,18-Feb-15,54,242,54.66,W,Pac,F,Democratic
Pennsylvania,Tom Wolf,17-Nov-48,20-Jan-15,66,64,66.17,E,MAtl,M,Democratic
Rhode Island,Daniel McKee,16-Jun-51,2-Mar-21,69,259,69.71,E,NE,M,Democratic
South Carolina,Henry McMaster,27-May-47,24-Jan-17,69,242,69.66,E,SE,M,Republican
South Dakota,Kristi Noem,30-Nov-71,5-Jan-19,47,36,47.1,W,MW,F,Republican
Tennessee,Bill Lee,9-Oct-59,19-Jan-19,59,102,59.28,E,SE,M,Republican
Texas,Greg Abbott,13-Nov-57,20-Jan-15,57,68,57.19,W,SW,M,Republican
Utah,Spencer Cox,11-Jul-75,4-Jan-21,45,177,45.49,W,west,M,Republican
Vermont,Phil Scott,4-Aug-58,5-Jan-17,58,154,58.42,E,NE,M,Republican
Virginia,Ralph Northam,13-Sep-59,13-Jan-18,58,122,58.34,E,SE,M,Democratic
Washington,Jay Inslee,9-Feb-51,16-Jan-13,61,342,61.94,W,Pac,M,Democratic
West Virginia,Jim Justice,27-Apr-51,16-Jan-17,65,264,65.72,E,SE,M,Republican
Wisconsin,Tony Evers,5-Nov-51,7-Jan-19,67,63,67.17,E,MW,M,Democratic
Wyoming,Mark Gordon,14-Mar-57,7-Jan-19,61,299,61.82,W,west,M,Republican