state,governor,age.at.inaug,miss_riv,region,sex,party
Alabama,Kay Ivey,72.48,E,SE,F,Republican
Alaska,Mike Dunleavy,57.58,W,Pac,M,Republican
Arizona,Doug Ducey,50.74,W,SW,M,Republican
Arkansas,Asa Hutchinson,64.11,W,SE,M,Republican
California,Gavin Newsom,51.24,W,Pac,M,Democratic
Colorado,Jared Polis,43.66,W,west,M,Democratic
Connecticut,Ned Lamont,65.02,E,NE,M,Democratic
Delaware,John Carney,60.66,E,MAtl,M,Democratic
Florida,Ron DeSantis,40.32,E,SE,M,Republican
Georgia,Brian Kemp,55.2,E,SE,M,Republican
Hawaii,David Ige,57.88,W,Pac,M,Democratic
Idaho,Brad Little,64.89,W,west,M,Republican
Illinois,J. B. Pritzker,53.98,E,MW,M,Democratic
Indiana,Eric Holcomb,48.69,E,MW,M,Republican
Iowa,Kim Reynolds,57.8,W,MW,F,Republican
Kansas,Laura Kelly,68.97,W,MW,F,Democratic
Kentucky,Andy Beshear,42.03,E,SE,M,Democratic
Louisiana,John Bel Edwards,49.32,W,SE,M,Democratic
Maine,Janet Mills,71.01,E,NE,F,Democratic
Maryland,Larry Hogan,58.66,E,MAtl,M,Republican
Massachusetts,Charlie Baker,58.15,E,NE,M,Republican
Michigan,Gretchen Whitmer,47.36,E,MW,F,Democratic
Minnesota,Tim Walz,54.75,W,MW,M,Democratic
Mississippi,Tate Reeves,45.61,E,SE,M,Republican
Missouri,Mike Parson,62.7,W,MW,M,Republican
Montana,Greg Gianforte,59.72,W,west,M,Republican
Nebraska,Pete Ricketts,50.39,W,MW,M,Republican
Nevada,Steve Sisolak,65.03,W,west,M,Democratic
New Hampshire,Chris Sununu,42.17,E,NE,M,Republican
New Jersey,Phil Murphy,60.42,E,MAtl,M,Democratic
New Mexico,Michelle Lujan Grisham,59.19,W,SW,F,Democratic
New York,Kathy Hochul,62.99,E,MAtl,F,Democratic
North Carolina,Roy Cooper,59.55,E,SE,M,Democratic
North Dakota,Doug Burgum,60.37,W,MW,M,Republican
Ohio,Mike DeWine,72.02,E,MW,M,Republican
Oklahoma,Kevin Stitt,46.05,W,SW,M,Republican
Oregon,Kate Brown,54.66,W,Pac,F,Democratic
Pennsylvania,Tom Wolf,66.17,E,MAtl,M,Democratic
Rhode Island,Daniel McKee,69.71,E,NE,M,Democratic
South Carolina,Henry McMaster,69.66,E,SE,M,Republican
South Dakota,Kristi Noem,47.1,W,MW,F,Republican
Tennessee,Bill Lee,59.28,E,SE,M,Republican
Texas,Greg Abbott,57.19,W,SW,M,Republican
Utah,Spencer Cox,45.49,W,west,M,Republican
Vermont,Phil Scott,58.42,E,NE,M,Republican
Virginia,Ralph Northam,58.34,E,SE,M,Democratic
Washington,Jay Inslee,61.94,W,Pac,M,Democratic
West Virginia,Jim Justice,65.72,E,SE,M,Republican
Wisconsin,Tony Evers,67.17,E,MW,M,Democratic
Wyoming,Mark Gordon,61.82,W,west,M,Republican