Timestamp,randomnum,term
8/30/21 8:58,4,F21
8/30/21 10:39,7,F21
8/30/21 11:10,5,F21
8/30/21 11:10,9,F21
8/30/21 11:11,7,F21
8/30/21 11:11,10,F21
8/30/21 11:11,2,F21
8/30/21 11:11,3,F21
8/30/21 11:12,6,F21
8/30/21 11:12,7,F21
8/30/21 11:12,2,F21
8/30/21 11:12,3,F21
8/30/21 11:12,10,F21
8/30/21 11:12,5,F21
8/30/21 11:12,8,F21
8/30/21 11:12,6,F21
8/30/21 11:12,7,F21
8/30/21 11:12,4,F21
8/30/21 11:12,9,F21
8/30/21 11:12,5,F21
8/30/21 11:13,3,F21
8/30/21 11:13,8,F21
8/30/21 11:13,8,F21
8/30/21 11:13,9,F21
8/30/21 11:13,8,F21
8/30/21 11:14,6,F21
8/30/21 11:14,7,F21
8/30/21 11:14,8,F21
8/30/21 12:31,7,F21
8/30/21 12:48,3,F21
8/30/21 12:48,4,F21
8/30/21 12:49,6,F21
8/30/21 12:49,2,F21
8/30/21 12:49,8,F21
8/30/21 12:49,8,F21
8/30/21 12:49,8,F21
8/30/21 12:49,3,F21
8/30/21 12:49,3,F21
8/30/21 12:49,8,F21
8/30/21 12:49,3,F21
8/30/21 12:50,3,F21
8/30/21 12:50,3,F21
8/30/21 12:50,7,F21
8/30/21 12:50,7,F21
8/30/21 12:50,6,F21
8/30/21 12:50,6,F21
8/30/21 12:50,5,F21
8/30/21 12:50,8,F21
8/30/21 12:50,5,F21
8/30/21 12:50,4,F21
8/30/21 12:50,7,F21
8/30/21 12:50,4,F21
8/30/21 12:50,7,F21
8/30/21 12:51,7,F21
8/30/21 12:51,2,F21
8/30/21 12:51,7,F21
8/30/21 12:51,9,F21
8/30/21 12:51,3,F21
2022/02/08 1:06:18 PM PST,2,S22
2022/02/08 1:06:40 PM PST,7,S22
2022/02/08 1:06:49 PM PST,6,S22
2022/02/08 1:07:10 PM PST,7,S22
2022/02/08 1:07:31 PM PST,4,S22
2022/02/08 1:07:48 PM PST,3,S22
2022/02/08 1:07:53 PM PST,5,S22
2022/02/08 1:07:54 PM PST,8,S22
2022/02/08 1:08:00 PM PST,8,S22
2022/02/08 1:08:05 PM PST,7,S22
2022/02/08 1:08:07 PM PST,7,S22
2022/02/08 1:08:14 PM PST,4,S22
2022/02/08 1:08:22 PM PST,3,S22
2022/02/08 1:08:51 PM PST,2,S22
2022/02/08 1:09:18 PM PST,7,S22
2022/02/08 1:09:27 PM PST,3,S22
2022/02/08 1:09:54 PM PST,3,S22
2022/02/08 1:10:31 PM PST,3,S22
2022/02/08 1:14:28 PM PST,7,S22
2022/02/08 2:21:37 PM PST,4,S22
2022/02/08 4:42:33 PM PST,8,S22
2022/02/08 5:27:27 PM PST,5,S22
2022/02/08 6:16:35 PM PST,8,S22
2022/02/08 7:21:39 PM PST,8,S22
2022/02/08 9:20:47 PM PST,6,S22
2022/02/08 9:31:08 PM PST,4,S22
2022/02/09 8:57:36 AM PST,7,S22
2022/02/09 8:31:54 PM PST,1,S22
2022/08/30 11:42:33 AM MDT,3,F22
2022/08/30 11:43:05 AM MDT,6,F22
2022/08/30 11:43:09 AM MDT,6,F22
2022/08/30 11:43:11 AM MDT,7,F22
2022/08/30 11:43:13 AM MDT,3,F22
2022/08/30 11:43:16 AM MDT,7,F22
2022/08/30 11:43:19 AM MDT,6,F22
2022/08/30 11:43:21 AM MDT,10,F22
2022/08/30 11:43:21 AM MDT,4,F22
2022/08/30 11:43:25 AM MDT,3,F22
2022/08/30 11:43:26 AM MDT,7,F22
2022/08/30 11:43:43 AM MDT,2,F22
2022/08/30 11:44:08 AM MDT,9,F22
2022/08/30 11:44:11 AM MDT,3,F22
2022/08/30 11:44:19 AM MDT,4,F22
2022/08/30 11:44:20 AM MDT,5,F22
2022/08/30 11:44:26 AM MDT,2,F22
2022/08/30 11:44:28 AM MDT,7,F22
2022/08/30 11:44:35 AM MDT,10,F22
2022/08/30 11:44:54 AM MDT,6,F22
2022/08/30 11:45:00 AM MDT,7,F22
2022/08/30 11:45:20 AM MDT,7,F22
2022/08/30 11:45:21 AM MDT,7,F22
2022/08/30 11:45:34 AM MDT,8,F22
2022/08/30 11:45:55 AM MDT,6,F22
2022/08/30 11:45:55 AM MDT,4,F22
2022/08/30 11:47:23 AM MDT,8,F22
2023/01/03 8:05:09 AM PST,2,J23
2023/01/03 8:05:17 AM PST,8,J23
2023/01/03 8:05:24 AM PST,7,J23
2023/01/03 8:05:35 AM PST,2,J23
2023/01/03 8:05:38 AM PST,7,J23
2023/01/03 8:05:43 AM PST,2,J23
2023/01/03 8:05:47 AM PST,9,J23
2023/01/03 8:05:55 AM PST,1,J23
2023/01/03 8:05:56 AM PST,4,J23
2023/01/03 8:05:56 AM PST,3,J23
2023/01/03 8:06:10 AM PST,5,J23
2023/01/03 8:06:10 AM PST,4,J23
2023/01/03 8:06:16 AM PST,7,J23
2023/01/03 8:06:23 AM PST,4,J23
2023/01/03 8:06:24 AM PST,3,J23
2023/01/03 8:06:29 AM PST,6,J23
2023/01/03 8:06:32 AM PST,9,J23
2023/01/03 8:06:32 AM PST,7,J23
2023/01/03 8:06:34 AM PST,1,J23
2023/01/03 8:06:34 AM PST,2,J23
2023/01/03 8:06:51 AM PST,8,J23
2023/01/03 8:07:02 AM PST,6,J23
2023/01/03 8:07:14 AM PST,5,J23
2023/01/03 8:07:22 AM PST,10,J23
2023/01/03 8:07:46 AM PST,9,J23
2023/01/03 8:17:53 AM PST,7,J23
2023/01/03 10:44:49 AM PST,7,J23
2023/01/03 10:44:56 AM PST,3,J23
2023/01/03 10:45:43 AM PST,7,J23
2023/01/03 10:45:43 AM PST,5,J23
2023/01/03 10:45:46 AM PST,10,J23
2023/01/03 10:45:49 AM PST,3,J23
2023/01/03 10:45:51 AM PST,5,J23
2023/01/03 10:45:51 AM PST,8,J23
2023/01/03 10:45:54 AM PST,4,J23
2023/01/03 10:45:57 AM PST,4,J23
2023/01/03 10:46:10 AM PST,4,J23
2023/01/03 10:46:11 AM PST,7,J23
2023/01/03 10:46:16 AM PST,7,J23
2023/01/03 10:46:35 AM PST,3,J23
2023/01/03 10:46:40 AM PST,3,J23
2023/01/03 10:46:47 AM PST,3,J23
2023/01/03 10:46:51 AM PST,9,J23
2023/01/03 10:46:51 AM PST,8,J23
2023/01/03 10:47:03 AM PST,7,J23
2023/01/03 10:47:04 AM PST,5,J23
2023/01/03 10:47:19 AM PST,7,J23
2023/01/03 10:47:27 AM PST,8,J23
2023/01/03 10:47:31 AM PST,8,J23
2023/01/03 10:47:39 AM PST,7,J23
2/7/23 10:13,4,S23
2/7/23 10:13,7,S23
2/7/23 10:14,4,S23
2/7/23 10:14,7,S23
2/7/23 10:14,6,S23
2/7/23 10:14,8,S23
2/7/23 10:14,5,S23
2/7/23 10:14,4,S23
2/7/23 10:14,1,S23
2/7/23 10:15,5,S23
2/7/23 10:15,4,S23
2/7/23 10:15,7,S23
2/7/23 10:15,4,S23
2/7/23 10:15,5,S23
2/7/23 10:15,4,S23
2/7/23 10:15,7,S23
2/7/23 10:15,4,S23
2/7/23 10:15,10,S23
2/7/23 10:15,3,S23
2/7/23 10:15,4,S23
2/7/23 10:15,8,S23
2/7/23 10:15,9,S23
2/7/23 10:16,7,S23
2/7/23 10:16,8,S23
2/7/23 11:48,2,S23
2/7/23 12:04,8,S23
2/7/23 13:21,4,S23
2/7/23 14:57,8,S23
2/7/23 18:04,6,S23
2/8/23 10:02,8,S23
2/8/23 10:02,6,S23
2/8/23 10:02,7,S23
2/8/23 10:02,7,S23
2/8/23 10:02,7,S23
2/8/23 10:03,4,S23
2/8/23 10:03,8,S23
2/8/23 10:03,2,S23
2/8/23 10:03,2,S23
2/8/23 10:03,7,S23
2/8/23 10:03,4,S23
2/8/23 10:03,3,S23
2/8/23 10:03,2,S23
2/8/23 10:04,6,S23
2/8/23 10:04,7,S23
2/8/23 10:04,6,S23
2/8/23 10:04,5,S23
2/8/23 10:04,6,S23
2/8/23 10:05,4,S23
2/8/23 10:05,7,S23
2/8/23 10:05,8,S23
2/8/23 10:05,7,S23
2/8/23 10:05,4,S23
2/8/23 10:07,8,S23
2/8/23 10:08,10,S23
2/8/23 10:09,5,S23
8/26/24 15:10,8,F24
8/28/24 9:01,7,F24
8/28/24 9:02,2,F24
8/28/24 9:02,7,F24
8/28/24 9:02,3,F24
8/28/24 9:02,5,F24
8/28/24 9:03,7,F24
8/28/24 9:03,4,F24
8/28/24 9:03,7,F24
8/28/24 9:04,2,F24
8/28/24 9:04,2,F24
8/28/24 9:04,5,F24
8/28/24 9:04,8,F24
8/28/24 9:04,5,F24
8/28/24 9:04,4,F24
8/28/24 9:04,2,F24
8/28/24 9:04,5,F24
8/28/24 9:04,7,F24
8/28/24 9:04,6,F24
8/28/24 9:04,8,F24
8/28/24 9:05,6,F24
8/28/24 9:05,6,F24
8/28/24 9:05,7,F24
8/28/24 9:05,5,F24
8/28/24 9:06,4,F24
8/28/24 9:06,2,F24
8/28/24 9:07,6,F24
8/28/24 9:07,8,F24
8/25/25 13:27,9,F25
8/25/25 13:27,10,F25
8/25/25 13:28,10,F25
8/25/25 13:28,9,F25
8/25/25 13:28,4,F25
8/25/25 13:28,6,F25
8/25/25 13:28,8,F25
8/25/25 13:28,5,F25
8/25/25 13:28,7,F25
8/25/25 13:28,10,F25
8/25/25 13:28,2,F25
8/25/25 13:28,9,F25
8/25/25 13:28,7,F25
8/25/25 13:28,6,F25
8/25/25 13:28,7,F25
8/25/25 13:28,7,F25
8/25/25 13:28,6,F25
8/25/25 13:28,3,F25
8/25/25 13:28,7,F25
8/25/25 13:29,4,F25
8/25/25 13:29,4,F25
8/25/25 13:29,3,F25
8/25/25 13:29,3,F25
8/25/25 13:29,7,F25
8/25/25 13:29,3,F25
8/25/25 13:29,10,F25
8/25/25 13:29,7,F25
8/25/25 13:29,2,F25
8/25/25 13:29,9,F25
8/25/25 13:30,8,F25
8/25/25 13:30,5,F25