Timestamp,height,eyecolor,intext,phoneuse,haircut,randomnum,studyhrs,runmiles,earthcirc,shoes,abolishpenny,sleephrs,bedtime,countries,classdread,linfieldclass,section
8/30/21 8:58,72,Brown,introverted,1,20,4,10,0,24000,30,Yes,8,ar 11 pm,5,1,Other,1
8/30/21 10:39,75,Brown,introverted,2,15,7,6,4,25000,8,No,7,ar 11 pm,11,4,1st year,1
8/30/21 11:10,72,Brown,extroverted,2,0,5,5,1,5000,25,Yes,9,ar 11 pm,1,4,1st year,1
8/30/21 11:10,66,Hazel,introverted,6,0,9,4,0,5300,4,Yes,5,ar 1 am,1,4,2nd year,1
8/30/21 11:11,66,Green,introverted,6,120,7,3,0,12000,24,No,7,ar 11 pm,1,2,2nd year,1
8/30/21 11:11,70,Blue,extroverted,4,0,10,5,12,21428946,14,No,8,ar 10 pm,1,1,2nd year,1
8/30/21 11:11,71,Brown,introverted,4,20,2,2,15,7000,10,No,8,ar 10 pm,1,1,2nd year,1
8/30/21 11:11,63,Blue,extroverted,3,55,3,8,0,3000000,30,No,7,ar 1 am,3,3,2nd year,1
8/30/21 11:12,65,Blue,extroverted,4,0,6,17.5,0,20000,14,Yes,7,ar midnight,4,3,2nd year,1
8/30/21 11:12,64,Green,introverted,6,0,7,10,0,300000,11,Yes,8,ar 11 pm,1,3,2nd year,1
8/30/21 11:12,68,Blue,introverted,2,35,2,40,6,46000,20,No,8,bf 10 pm,1,3,2nd year,1
8/30/21 11:12,60,Green,introverted,7,0,3,5,0,20000,1,Yes,5,af 1 am,1,2,2nd year,1
8/30/21 11:12,61,Hazel,introverted,3,0,10,10,0,35000,16,Yes,8,ar 10 pm,1,1,1st year,1
8/30/21 11:12,59,Green,introverted,4,0,5,14,3,2,19,Yes,6,ar midnight,11,3,2nd year,1
8/30/21 11:12,66,Brown,introverted,4,50,8,4,0,125,10,No,7,ar 11 pm,1,2,3rd year,1
8/30/21 11:12,64,Green,extroverted,7,65,6,8,5,24000,10,Yes,6,ar 1 am,6,2,3rd year,1
8/30/21 11:12,64,Brown,introverted,3,210,7,3.5,10,,30,No,8,ar 11 pm,3,1,2nd year,1
8/30/21 11:12,74,Blue,extroverted,3,17,4,16,9,100000,9,No,8,ar 11 pm,3,1,3rd year,1
8/30/21 11:12,71,Blue,extroverted,5,0,9,4,0,600000000,11,No,7,ar 11 pm,2,3,1st year,1
8/30/21 11:12,72,Brown,introverted,3,30,5,4,0,3666,8,No,8,ar 1 am,2,3,3rd year,1
8/30/21 11:13,63,Blue,introverted,6,80,3,25,3,,9,No,8,ar 11 pm,0,1,2nd year,1
8/30/21 11:13,64,Brown,introverted,5,50,8,8,1,50000000,9,No,7,ar 1 am,2,4,2nd year,1
8/30/21 11:13,62,Brown,extroverted,5,20,8,17,2,500000,5,No,7,ar midnight,3,2,2nd year,1
8/30/21 11:13,70,Green,introverted,4,15,9,,25,899550,8,No,7.5,ar midnight,5,2,1st year,1
8/30/21 11:13,66,Brown,extroverted,6,,8,25,0,22000,50,No,6.5,ar midnight,2,3,3rd year,1
8/30/21 11:14,65,Blue,introverted,6,18,6,,0,30000,8,Yes,6,ar 11 pm,2,1,3rd year,1
8/30/21 11:14,62,Brown,introverted,2,45,7,25,1,47000000,16,Yes,6.5,ar midnight,1,2,2nd year,1
8/30/21 11:14,63,Blue,introverted,4,0,8,4,0,8900000,8,Yes,6,ar midnight,5,2,2nd year,1
8/30/21 12:31,67,Brown,introverted,2,25,7,7,0,15000,8,Yes,7,ar 11 pm,2,3,2nd year,2
8/30/21 12:48,69,Blue,extroverted,3,150,3,12,8,300,12,No,8,ar midnight,3,5,1st year,2
8/30/21 12:48,64,Hazel,extroverted,5,11,4,0,2,150000,4,No,7,ar 11 pm,2,1,1st year,2
8/30/21 12:49,64,Green,introverted,4,45,6,5,25,5000,12,No,7,ar midnight,1,4,1st year,2
8/30/21 12:49,75,Brown,introverted,5,20,2,20,0,35000,9,No,7,ar 1 am,1,2,2nd year,2
8/30/21 12:49,71,Blue,extroverted,3,25,8,7,0,5.00E+11,7,No,8,ar 11 pm,3,3,1st year,2
8/30/21 12:49,73,Blue,,7,25,8,7.5,0,7869,30,No,8,ar midnight,2,3,1st year,2
8/30/21 12:49,70,Hazel,extroverted,3,12,8,10,2,,8,No,6.5,ar midnight,3,2,1st year,2
8/30/21 12:49,69,Brown,introverted,3,30,3,5,0,96743,19,Yes,7,ar 11 pm,2,3,1st year,2
8/30/21 12:49,75,Brown,extroverted,3,0,3,20,25,100000,10,No,8,ar 11 pm,4,1,1st year,2
8/30/21 12:49,74,Blue,extroverted,3,30,8,8,4,1000000,10,Yes,8,ar 11 pm,2,3,1st year,2
8/30/21 12:49,67,Brown,extroverted,5,20,3,4,3,3150,4,No,6.5,ar 11 pm,2,3,2nd year,2
8/30/21 12:50,68,Green,extroverted,2,25,3,10,3,80000,35,No,7,ar 1 am,6,2,1st year,2
8/30/21 12:50,69,Hazel,extroverted,3,45,3,,17.5,3,5,No,7,ar 11 pm,2,1,2nd year,2
8/30/21 12:50,69,Hazel,introverted,4,30,7,,0,,10,No,9,ar 10 pm,4,3,1st year,2
8/30/21 12:50,65,Blue,extroverted,5,340,7,6,1,1000000,20,No,7,ar 1 am,1,2,1st year,2
8/30/21 12:50,62,Green,extroverted,5,0,6,10,0,320,20,No,8,ar 10 pm,1,1,1st year,2
8/30/21 12:50,75,Brown,introverted,3,40,6,10,20,1000000,25,Yes,8,ar 1 am,4,2,2nd year,2
8/30/21 12:50,64,Blue,introverted,4,280,5,8,2,450,10,Yes,6,ar midnight,3,3,1st year,2
8/30/21 12:50,66.5,Green,extroverted,3,120,8,17,3,500000,20,No,7,ar 11 pm,1,2,1st year,2
8/30/21 12:50,62,Brown,introverted,3,70,5,4,3,100000,15,No,6,ar 11 pm,2,2,1st year,2
8/30/21 12:50,65,Blue,introverted,3,55,4,5,5,160000000,12,No,7,ar 11 pm,2,1,1st year,2
8/30/21 12:50,71,Hazel,extroverted,4,15,7,16,45,,5,No,6.5,ar 11 pm,1,2,1st year,2
8/30/21 12:50,67,Blue,introverted,6,65,4,5,2,600000,7,No,8,ar midnight,2,1,1st year,2
8/30/21 12:50,76,Hazel,extroverted,6,60,7,11,17.5,12000,6,No,6,ar 11 pm,2,1,1st year,2
8/30/21 12:51,63,Brown,introverted,2,0,7,8,1,0,6,No,8,ar 11 pm,2,3,1st year,2
8/30/21 12:51,61,Brown,introverted,2,35,2,1.5,6,10000000000,12,No,8.5,ar 10 pm,2,2,1st year,2
8/30/21 12:51,66,Brown,extroverted,3,60,7,30,0,15000,14,Yes,7.5,ar 10 pm,2,2,1st year,2
8/30/21 12:51,67,Blue,extroverted,5,70,9,,3,123456789,30,No,8,ar midnight,3,4,1st year,2
8/30/21 12:51,72,Brown,introverted,4,45,3,5,0,,5,Yes,3,ar 1 am,8,2,4th year,2