Name,Bats,MLB,Age,G,PA,AB,H,D,T,HR,R,RBI,K,BB,SB,CS,GDP,HBP,SH,SF,RC,Pos,AVG,OBP,SLG,OPS,WOBA,WAR
Jasson Dominguez,B,NYY,21,18,67,56,10,1,0,2,8,4,19,11,5,0,0,0,0,0,7.04,78,0.179,0.313,0.304,0.617,0.285,-0.1599
Brewer Hicklen,R,MIL,28,3,5,5,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,9,0,0,0,0,0,-0.1604
Rafael Ortega,L,CHW,33,14,17,14,1,0,0,0,4,1,4,2,2,0,1,0,0,1,0.362,8,0.071,0.176,0.071,0.247,0.133,-0.1616
Alek Thomas,L,ARI,24,39,103,95,18,5,1,3,13,17,17,7,4,1,7,0,1,0,6.341,8,0.189,0.245,0.358,0.603,0.262,-0.1622
Donovan Walton,L,SFG,30,9,25,22,3,0,0,1,3,2,7,2,0,0,2,1,0,0,1.085,4,0.136,0.24,0.273,0.513,0.236,-0.1646
Taylor Walls,B,TBR,27,84,252,218,40,5,3,1,27,14,67,31,16,4,3,0,0,3,18.27,6,0.183,0.282,0.248,0.53,0.245,-0.1658
Chas McCormick,R,HOU,29,94,267,242,51,6,1,5,32,27,72,17,8,2,3,4,1,3,21.505,798,0.211,0.271,0.306,0.577,0.257,-0.1682
Jason Vosler,L,SEA,30,10,30,28,5,1,1,0,2,3,9,2,0,0,0,0,0,0,1.988,3,0.179,0.233,0.286,0.519,0.229,-0.1684
Isaac Collins,B,MIL,26,11,19,17,2,0,0,0,0,0,10,2,1,0,0,0,0,0,0.64,7,0.118,0.211,0.118,0.329,0.165,-0.1691
Luke Williams,R,ATL,27,34,52,46,9,3,0,0,8,4,13,4,3,0,1,1,1,0,3.845,4576,0.196,0.275,0.261,0.536,0.246,-0.1737
Jack Lopez,R,LAA,31,27,71,67,17,3,0,1,4,6,25,2,0,1,2,1,1,0,5.818,46,0.254,0.286,0.343,0.629,0.277,-0.1756
D.J. Stewart,L,NYM,30,74,194,158,28,4,0,5,16,19,48,31,1,0,5,4,0,1,17.083,97,0.177,0.325,0.297,0.622,0.29,-0.1769
Javier Sanoja,R,MIA,21,15,36,35,8,2,0,0,3,2,4,1,0,0,2,0,0,0,1.995,4867,0.229,0.25,0.286,0.536,0.236,-0.179
Tyler Locklear,R,SEA,23,16,49,45,7,1,0,2,3,3,20,3,1,0,3,1,0,0,2.54,3,0.156,0.224,0.311,0.535,0.238,-0.1809
Levi Jordan,R,CIN,28,7,11,10,1,1,0,0,1,1,3,0,0,0,0,0,0,1,0.229,79,0.1,0.091,0.2,0.291,0.114,-0.1881
Benjamin Rice,L,NYY,25,50,178,152,26,6,0,7,20,23,48,20,0,1,2,1,0,5,15.093,3,0.171,0.264,0.349,0.613,0.269,-0.1893
Forrest Wall,L,- - -,28,16,35,32,8,0,0,0,4,1,8,3,4,3,0,0,0,0,2.482,79,0.25,0.314,0.25,0.564,0.261,-0.1909
Tristan Gray,L,- - -,28,15,31,28,3,1,0,0,0,0,16,3,0,0,0,0,0,0,0.925,35,0.107,0.194,0.143,0.337,0.164,-0.1937
Joey Gallo,L,WSN,30,76,260,223,36,9,0,10,24,27,102,32,3,1,1,4,0,1,23.272,39,0.161,0.277,0.336,0.613,0.276,-0.1959
Patrick Wisdom,R,CHC,32,75,174,158,27,7,2,8,16,23,59,10,5,0,1,4,1,1,15.926,3597,0.171,0.237,0.392,0.629,0.271,-0.199
Manuel Margot,R,MIN,29,129,343,315,75,17,1,4,37,31,54,21,5,0,10,3,1,3,30.338,798,0.238,0.289,0.337,0.626,0.276,-0.2036
David Hensley,R,MIA,28,23,58,52,11,1,0,1,9,4,17,6,1,0,0,0,0,0,5.006,937,0.212,0.293,0.288,0.581,0.265,-0.2099
Sam Haggerty,B,SEA,30,8,16,15,1,0,0,0,1,1,4,1,1,0,0,0,0,0,0.222,7,0.067,0.125,0.067,0.192,0.098,-0.2102
Matt Carpenter,L,STL,38,59,157,137,32,7,0,4,15,15,51,15,0,2,0,2,0,2,17.01,3,0.234,0.314,0.372,0.686,0.303,-0.2137
Seth Brown,L,OAK,31,124,400,372,86,11,1,14,32,44,112,25,4,2,7,2,0,1,39.161,739,0.231,0.282,0.379,0.661,0.289,-0.2179
Grant McCray,L,SFG,23,37,130,124,25,3,2,5,13,10,56,6,5,0,3,0,0,0,11.019,8,0.202,0.238,0.379,0.617,0.266,-0.2234
Zachary Dezenzo,R,HOU,24,19,65,62,15,2,0,2,5,8,22,3,0,0,3,0,0,0,5.488,35,0.242,0.277,0.371,0.648,0.283,-0.2246
Ali Sanchez,R,MIA,27,31,96,84,14,2,0,0,5,4,24,4,2,1,2,1,6,1,3.663,2,0.167,0.211,0.19,0.401,0.184,-0.2254
Kameron Misner,L,TBR,26,8,15,15,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0.067,78,0.067,0.067,0.067,0.134,0.059,-0.2314
Gabriel Arias,R,CLE,24,53,161,153,34,9,1,3,15,15,53,6,5,2,4,1,0,1,12.813,5648379,0.222,0.255,0.353,0.608,0.263,-0.2316
Nick Loftin,R,KCR,25,56,171,148,28,4,0,1,15,14,24,19,1,0,4,1,1,2,10.879,4537,0.189,0.282,0.236,0.518,0.242,-0.2347
Adolis Garcia,R,TEX,31,154,637,580,130,27,0,25,68,85,177,45,11,5,12,6,0,6,65.286,9,0.224,0.284,0.4,0.684,0.296,-0.2354
Joey Wendle,L,NYM,34,18,37,36,8,1,0,0,3,1,9,1,1,0,0,0,0,0,2.379,456,0.222,0.243,0.25,0.493,0.219,-0.2355
Owen Miller,R,MIL,27,14,27,27,5,1,0,0,2,3,8,0,0,0,1,0,0,0,0.889,3,0.185,0.185,0.222,0.407,0.177,-0.237
Johnathan Rodriguez,R,CLE,24,13,40,31,4,1,0,0,6,5,14,9,0,0,1,0,0,0,2.202,9,0.129,0.325,0.161,0.486,0.253,-0.2458
Niko Kavadas,L,LAA,25,30,106,93,17,2,0,4,11,8,41,11,1,0,0,2,0,0,9.877,3,0.183,0.283,0.333,0.616,0.278,-0.2466
Andruw Monasterio,R,MIL,27,59,142,125,26,5,0,1,14,16,40,16,6,2,3,1,0,0,11.116,543,0.208,0.303,0.272,0.575,0.266,-0.2467
Austin Martin,R,MIN,25,93,257,233,59,18,1,1,41,16,47,20,7,3,4,2,2,0,26.605,874,0.253,0.318,0.352,0.67,0.297,-0.2483
Riley Adams,R,WSN,28,41,130,116,26,5,1,2,10,8,35,10,1,0,4,2,0,2,11.356,2,0.224,0.292,0.336,0.628,0.275,-0.2504
Anthony Rizzo,L,NYY,34,92,375,337,77,12,0,8,38,35,65,27,0,0,7,9,0,2,34.881,3,0.228,0.301,0.335,0.636,0.285,-0.2514
Armando Alvarez,R,OAK,29,16,39,37,9,1,0,0,7,2,8,2,1,0,1,0,0,0,2.831,5347,0.243,0.282,0.27,0.552,0.248,-0.2532
Keibert Ruiz,B,WSN,25,127,485,459,105,21,0,13,46,57,54,16,3,1,13,5,0,5,40.325,2,0.229,0.26,0.359,0.619,0.268,-0.2536
Esteury Ruiz,R,OAK,25,29,65,55,11,2,1,2,10,8,20,4,5,4,1,2,2,2,5.029,78,0.2,0.27,0.382,0.652,0.281,-0.2551
Brett Harris,R,OAK,26,36,123,103,15,3,0,3,15,12,25,17,0,3,3,2,0,1,7.389,5,0.146,0.276,0.262,0.538,0.252,-0.2601
Bryce Teodosio,R,LAA,25,5,12,12,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0.083,8,0.083,0.083,0.083,0.166,0.073,-0.2644
James Outman,L,LAD,27,53,156,136,20,4,0,4,12,11,55,16,2,1,0,4,0,0,10.56,8,0.147,0.256,0.265,0.521,0.242,-0.266
Davis Wendzel,R,TEX,27,27,49,47,6,2,0,1,2,2,12,1,0,0,1,1,0,0,1.646,5,0.128,0.163,0.234,0.397,0.176,-0.2703
Akil Baddoo,L,DET,25,31,82,73,10,2,2,2,7,5,27,8,1,0,0,0,0,1,5.514,798,0.137,0.22,0.301,0.521,0.23,-0.2745
Brooks Lee,B,MIN,23,50,185,172,38,6,1,3,9,27,27,11,3,0,6,0,0,2,13.932,654,0.221,0.265,0.32,0.585,0.252,-0.2777
Jake Cave,L,COL,31,123,346,323,81,16,5,7,42,37,98,18,5,2,6,1,1,3,36.523,978,0.251,0.29,0.396,0.686,0.295,-0.2803
Curtis Mead,R,TBR,23,38,132,122,29,3,0,1,10,7,30,6,2,0,2,2,0,1,10.324,45,0.238,0.282,0.287,0.569,0.255,-0.2867
MJ Melendez,L,KCR,25,135,451,412,85,23,3,17,44,44,113,35,4,4,3,3,0,0,45.549,79,0.206,0.273,0.4,0.673,0.292,-0.2912
Mickey Gasper,B,BOS,28,13,23,18,0,0,0,0,1,0,8,4,0,0,1,1,0,0,0.226,4,0,0.217,0,0.217,0.151,-0.2974
C.J. Alexander,L,KCR,27,4,8,8,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0.125,5,0.125,0.125,0.125,0.25,0.11,-0.3003
Addison Barger,L,TOR,24,69,225,208,41,11,0,7,20,28,60,14,2,0,1,1,0,1,19.265,597,0.197,0.25,0.351,0.601,0.262,-0.3032
Travis Jankowski,L,TEX,33,104,207,190,38,5,0,1,19,12,44,12,11,1,3,5,0,0,13.832,978,0.2,0.266,0.242,0.508,0.234,-0.3062
Alex Kirilloff,L,MIN,26,57,178,159,32,8,3,5,20,20,47,15,0,0,5,1,0,3,16.118,739,0.201,0.27,0.384,0.654,0.282,-0.307
Graham Pauley,L,SDP,23,13,32,32,4,0,0,2,4,5,15,0,0,0,1,0,0,0,0.938,5,0.125,0.125,0.313,0.438,0.183,-0.3073
Alika Williams,R,PIT,25,37,96,87,18,4,2,0,13,5,22,3,1,0,0,1,5,0,6.912,46,0.207,0.242,0.299,0.541,0.237,-0.3106
Joey Wiemer,R,- - -,25,21,28,26,4,0,0,0,2,0,9,2,1,1,0,0,0,0,0.9,78,0.154,0.214,0.154,0.368,0.175,-0.3206
Daniel Vogelbach,L,TOR,31,31,79,70,13,5,0,1,5,8,17,9,0,0,4,0,0,0,5.318,,0.186,0.278,0.3,0.578,0.262,-0.3228
Andrew Benintendi,L,CHW,29,135,522,477,109,20,0,20,50,64,96,41,3,2,12,1,0,3,53.22,7,0.229,0.289,0.396,0.685,0.298,-0.3287
Vidal Brujan,B,MIA,26,102,278,248,55,14,2,2,32,16,54,25,5,6,5,4,1,0,23.339,645897,0.222,0.303,0.319,0.622,0.276,-0.337
Tyler Wade,L,SDP,29,90,156,138,30,3,0,0,28,8,29,11,8,1,0,2,4,0,11.549,564798,0.217,0.285,0.239,0.524,0.242,-0.3383
Cole Tucker,B,LAA,27,24,57,50,9,4,1,0,3,3,17,6,3,1,0,0,0,1,4.578,57,0.18,0.263,0.3,0.563,0.25,-0.3445
Ryan Vilade,R,DET,25,17,49,45,8,0,0,1,5,5,12,2,0,0,2,0,1,1,2.051,978,0.178,0.208,0.244,0.452,0.2,-0.345
Shay Whitcomb,R,HOU,25,20,46,41,9,3,0,0,1,5,8,5,0,0,1,0,0,0,3.759,54,0.22,0.304,0.293,0.597,0.272,-0.3455
Jeimer Candelario,B,CIN,30,112,463,427,96,23,2,20,47,56,114,27,4,3,7,6,0,3,50.109,53,0.225,0.279,0.429,0.708,0.304,-0.3525
Jacob Amaya,R,- - -,25,24,72,68,12,1,0,0,4,3,28,4,1,0,3,0,0,0,2.629,6,0.176,0.222,0.191,0.413,0.19,-0.3577
Garrett Cooper,R,- - -,33,36,116,107,22,5,1,1,6,11,35,7,0,0,3,2,0,0,8.289,3,0.206,0.267,0.299,0.566,0.253,-0.3707
Michael Stefanic,R,LAA,28,40,124,110,24,4,0,0,8,8,20,10,0,0,5,3,1,0,8.232,45,0.218,0.301,0.255,0.556,0.258,-0.3722
Grae Kessinger,R,HOU,26,22,25,21,0,0,0,0,4,0,7,3,0,0,1,1,0,0,0.125,546,0,0.16,0,0.16,0.112,-0.375
Miles Mastrobuoni,L,CHC,28,50,106,98,19,3,0,0,9,4,17,7,2,0,1,0,0,1,5.986,5647,0.194,0.245,0.224,0.469,0.214,-0.3812
Korey Lee,R,CHW,25,125,394,377,79,14,1,12,36,37,122,17,6,3,12,0,0,0,28.482,2,0.21,0.244,0.347,0.591,0.257,-0.3856
Mitch Garver,R,SEA,33,114,430,367,63,17,0,15,37,51,133,53,0,0,9,7,0,3,37.689,2,0.172,0.286,0.341,0.627,0.281,-0.39
Adael Amador,B,COL,21,10,36,35,6,1,0,0,1,0,6,1,1,0,1,0,0,0,1.297,4,0.171,0.194,0.2,0.394,0.176,-0.4002
Drew Romo,B,COL,22,16,53,51,9,3,0,0,4,6,18,2,0,1,2,0,0,0,1.89,2,0.176,0.208,0.235,0.443,0.197,-0.4042
Matt Mervis,L,CHC,26,9,28,26,3,1,0,0,1,3,8,1,0,0,0,0,0,0,0.631,,0.115,0.148,0.154,0.302,0.137,-0.411
Curt Casali,R,SFG,35,41,125,108,21,3,0,1,12,8,22,13,0,0,3,2,2,0,8.432,2,0.194,0.293,0.25,0.543,0.254,-0.4113
J.D. Davis,R,- - -,31,46,157,142,31,5,0,4,13,6,39,12,0,0,5,3,0,0,13.554,35,0.218,0.293,0.338,0.631,0.282,-0.422
Zack Short,R,- - -,29,42,88,70,9,3,0,0,11,5,24,14,2,1,0,1,3,0,4.835,564,0.129,0.282,0.171,0.453,0.228,-0.4318
Jace Peterson,L,ARI,34,14,26,22,1,0,0,0,2,1,6,3,0,0,1,0,0,1,0.265,645,0.045,0.154,0.045,0.199,0.113,-0.4325
Tyler Nevin,R,OAK,27,87,278,245,50,10,0,7,22,20,64,25,1,0,5,5,0,3,24.518,3597,0.204,0.288,0.331,0.619,0.276,-0.4339
Bryan Ramos,R,CHW,22,32,108,99,20,4,0,3,13,11,22,7,0,2,3,0,0,1,7.266,5,0.202,0.252,0.333,0.585,0.257,-0.4365
Tucker Barnhart,L,ARI,33,31,96,81,14,3,0,0,13,6,31,13,1,0,0,0,2,0,6.171,2,0.173,0.287,0.21,0.497,0.239,-0.4404
Daz Cameron,R,OAK,27,66,186,170,34,5,1,5,22,15,51,13,5,0,3,1,0,2,15.31,798,0.2,0.258,0.329,0.587,0.258,-0.4406
Pedro Leon,R,HOU,26,7,21,20,2,0,0,0,2,0,10,1,2,0,2,0,0,0,0.157,9,0.1,0.143,0.1,0.243,0.117,-0.4607
Luis Campusano,R,SDP,25,91,299,277,63,13,0,8,37,40,41,20,0,0,11,1,0,1,25.875,2,0.227,0.281,0.361,0.642,0.282,-0.462
Victor Scott,L,STL,23,53,155,145,26,9,0,2,14,10,42,6,5,1,0,2,0,2,9.947,89,0.179,0.219,0.283,0.502,0.221,-0.4633
Rowdy Tellez,L,PIT,29,131,421,383,93,18,0,13,38,56,89,31,1,0,12,2,0,5,43.786,3,0.243,0.299,0.392,0.691,0.301,-0.4678
Ignacio Alvarez,R,ATL,21,8,32,30,3,0,0,0,1,0,10,0,0,0,1,2,0,0,0.44,45,0.1,0.156,0.1,0.256,0.128,-0.4688
Justyn-Henry Malloy,R,DET,24,71,230,202,41,7,1,8,18,21,85,23,1,1,2,3,0,2,22.906,7,0.203,0.291,0.366,0.657,0.291,-0.4745
Darell Hernaiz,R,OAK,22,48,135,120,23,3,0,1,8,12,27,11,1,1,4,1,1,2,7.6,564,0.192,0.261,0.242,0.503,0.23,-0.4806
Travis Blankenhorn,L,WSN,27,13,32,31,4,1,0,0,2,5,9,1,0,0,0,0,0,0,0.822,9,0.129,0.156,0.161,0.317,0.143,-0.481
Nelson Velazquez,R,KCR,25,64,230,205,41,8,1,8,31,27,61,19,2,0,6,3,0,3,20.649,97,0.2,0.274,0.366,0.64,0.28,-0.4852
Tom Murphy,R,SFG,33,13,38,34,4,1,0,1,3,2,14,4,0,0,0,0,0,0,1.903,2,0.118,0.211,0.235,0.446,0.206,-0.4857
Kyren Paris,R,LAA,22,21,59,51,6,2,0,1,4,5,17,7,1,0,1,0,0,0,2.76,46,0.118,0.224,0.216,0.44,0.207,-0.4869
Nick Martini,L,CIN,34,52,163,146,31,4,2,5,23,24,38,9,1,3,1,4,0,3,14.681,97,0.212,0.272,0.37,0.642,0.279,-0.5008
DJ LeMahieu,R,NYY,35,67,228,201,41,5,0,2,19,26,35,19,0,1,13,1,1,6,12.542,53,0.204,0.269,0.259,0.528,0.239,-0.5015
Aaron Hicks,B,LAA,34,18,63,57,8,0,0,1,6,5,23,6,0,0,1,0,0,0,2.592,987,0.14,0.222,0.193,0.415,0.196,-0.5159
Keston Hiura,R,LAA,27,10,27,27,4,0,0,0,1,1,10,0,0,1,0,0,0,0,0.444,4,0.148,0.148,0.148,0.296,0.131,-0.5181
Nick Senzel,R,- - -,29,74,267,236,46,11,0,7,25,18,61,28,1,3,6,1,1,0,21.418,59,0.195,0.283,0.331,0.614,0.273,-0.5296
Ryan Kreidler,R,DET,26,35,65,59,7,0,0,1,9,2,19,6,5,3,2,0,0,0,1.743,65,0.119,0.2,0.169,0.369,0.177,-0.5311
Aledmys Diaz,R,- - -,33,14,34,33,3,0,0,0,2,1,9,1,0,0,0,0,0,0,0.384,6345,0.091,0.118,0.091,0.209,0.098,-0.5353
Chuckie Robinson,R,CHW,29,26,76,70,9,0,0,0,2,0,20,5,0,0,1,1,0,0,1.945,2,0.129,0.197,0.129,0.326,0.159,-0.5391
Mitch Haniger,R,SEA,33,121,423,380,79,12,0,12,42,44,126,40,0,0,10,2,0,1,36.328,9,0.208,0.286,0.334,0.62,0.277,-0.5513
Coby Mayo,R,BAL,22,17,46,41,4,0,0,0,4,0,22,4,0,0,1,1,0,0,0.922,53,0.098,0.196,0.098,0.294,0.152,-0.5526
Chris Taylor,R,LAD,33,87,246,213,43,7,1,4,28,23,76,28,5,1,5,2,1,2,20.688,7548,0.202,0.298,0.3,0.598,0.272,-0.5558
Robbie Grossman,B,- - -,34,87,245,208,44,8,0,3,21,16,58,34,3,0,8,1,0,2,21.068,97,0.212,0.322,0.293,0.615,0.283,-0.5684
Enmanuel Valdez,L,BOS,25,76,223,201,43,12,0,6,23,28,53,17,1,1,4,0,1,4,19.864,45,0.214,0.27,0.363,0.633,0.275,-0.575
Ryan Noda,L,OAK,28,36,111,95,13,4,0,1,8,4,37,14,0,0,0,1,1,0,6.16,3,0.137,0.255,0.211,0.466,0.223,-0.5799
Adam Frazier,L,KCR,32,104,294,262,53,10,1,4,35,22,59,22,3,0,0,7,3,0,24.449,4975,0.202,0.282,0.294,0.576,0.261,-0.5822
Harold Ramirez,R,- - -,29,73,246,238,62,7,1,2,28,29,50,5,6,2,2,2,0,1,21.788,97,0.261,0.28,0.324,0.604,0.265,-0.589
Corey Julks,R,CHW,28,66,189,173,37,7,0,3,17,14,50,15,5,2,6,0,0,1,13.973,798,0.214,0.275,0.306,0.581,0.26,-0.5922
Sean Bouchard,R,COL,28,31,108,91,17,7,0,1,14,8,33,12,4,0,0,2,1,2,9.84,97,0.187,0.29,0.297,0.587,0.266,-0.5955
Kyle Stowers,L,- - -,26,69,209,192,40,11,2,3,15,24,74,13,0,1,2,3,0,1,17.416,789,0.208,0.268,0.333,0.601,0.265,-0.6209
Andrew Knizner,R,TEX,29,35,93,90,15,1,0,1,5,9,22,1,0,0,2,1,0,1,3.232,2,0.167,0.183,0.211,0.394,0.174,-0.6253
Will Benson,L,CIN,26,128,388,343,64,19,2,14,41,43,154,40,16,7,3,2,1,2,37.064,798,0.187,0.274,0.376,0.65,0.285,-0.6373
Mike Ford,L,CIN,31,17,62,60,9,0,1,1,2,4,15,2,0,0,1,0,0,0,2.342,3,0.15,0.177,0.233,0.41,0.18,-0.6398
Jordan Walker,R,STL,22,51,178,164,33,10,1,5,16,20,50,10,1,0,4,2,0,2,14.898,9,0.201,0.253,0.366,0.619,0.268,-0.6416
Luke Maile,R,CIN,33,53,154,135,24,4,0,2,8,8,52,13,2,0,4,4,1,1,9.731,2,0.178,0.268,0.252,0.52,0.241,-0.6575
Wilmer Flores,R,SFG,32,71,242,214,44,12,0,4,19,26,33,20,0,0,5,3,0,5,19.553,35,0.206,0.277,0.318,0.595,0.262,-0.671
Ji Hwan Bae,L,PIT,24,29,81,74,14,2,0,0,11,6,24,6,6,2,0,0,0,1,4.711,89,0.189,0.247,0.216,0.463,0.213,-0.6712
Alan Trejo,R,COL,28,28,67,63,9,0,0,0,4,1,15,2,0,0,2,1,1,0,1.537,456,0.143,0.182,0.143,0.325,0.152,-0.6729
Christian Encarnacion-Strand,R,CIN,24,29,123,116,22,6,0,2,13,16,35,4,0,0,4,1,0,2,6.795,3,0.19,0.22,0.293,0.513,0.223,-0.6732
Nick Allen,R,OAK,25,41,105,97,17,4,0,1,6,4,20,5,0,0,0,0,3,0,5.628,65,0.175,0.216,0.247,0.463,0.207,-0.6732
Nick Madrigal,R,CHC,27,51,94,86,19,3,0,0,5,10,10,4,1,0,2,3,1,0,6.347,54,0.221,0.28,0.256,0.536,0.245,-0.6846
Javier Baez,R,DET,31,80,289,272,50,12,0,6,25,37,69,12,8,1,10,2,0,3,16.34,6,0.184,0.221,0.294,0.515,0.224,-0.6925
Marco Luciano,R,SFG,22,27,81,76,16,5,1,0,10,3,28,5,0,1,1,0,0,0,5.7,46,0.211,0.259,0.303,0.562,0.248,-0.6978
Bobby Dalbec,R,BOS,29,37,93,83,11,2,0,1,6,8,43,8,3,0,1,1,1,0,4.172,359,0.133,0.217,0.193,0.41,0.194,-0.6991
Vaughn Grissom,R,BOS,23,31,114,105,20,3,0,0,10,6,24,7,2,0,3,1,0,1,5.842,4,0.19,0.246,0.219,0.465,0.213,-0.7001
Henry Davis,R,PIT,24,37,122,104,15,4,0,1,9,5,45,13,0,0,1,1,1,2,6.294,2,0.144,0.242,0.212,0.454,0.213,-0.7013
Braden Shewmake,L,CHW,26,29,67,64,8,2,0,1,4,4,10,1,5,1,0,0,0,2,2.018,654,0.125,0.134,0.203,0.337,0.144,-0.713
Pablo Reyes,R,- - -,30,22,64,60,11,2,0,0,5,5,19,3,1,2,1,1,0,0,2.73,5463,0.183,0.234,0.217,0.451,0.207,-0.7303
Luis Matos,R,SFG,22,45,156,150,32,5,0,5,14,25,24,5,0,0,5,0,0,1,10.987,897,0.213,0.237,0.347,0.584,0.25,-0.736
Jose Fermin,R,STL,25,45,79,71,11,1,1,0,7,4,11,7,2,1,3,1,0,0,3.251,45,0.155,0.241,0.197,0.438,0.207,-0.7536
Kris Bryant,R,COL,32,37,155,133,29,5,0,2,9,15,48,13,0,0,6,8,0,1,13.052,93,0.218,0.323,0.301,0.624,0.287,-0.7634
Trey Lipscomb,R,WSN,24,61,211,190,38,3,0,1,20,10,40,16,11,2,7,2,1,1,12.408,534,0.2,0.268,0.232,0.5,0.231,-0.7878
Dominic Fletcher,L,CHW,26,72,241,223,46,8,0,1,14,17,58,11,0,0,5,3,2,1,14.195,987,0.206,0.252,0.256,0.508,0.227,-0.8074
Niko Goodrum,B,- - -,32,13,33,29,3,0,0,0,2,0,10,3,1,1,0,0,1,0,0.73,57346,0.103,0.188,0.103,0.291,0.147,-0.8104
Nick Gordon,L,MIA,28,95,275,260,59,11,1,8,29,32,67,11,5,5,5,1,0,3,22.909,784,0.227,0.258,0.369,0.627,0.271,-0.8159
Justin Foscue,R,TEX,25,15,44,42,2,1,0,0,3,1,18,2,0,0,0,0,0,0,0.32,3,0.048,0.091,0.071,0.162,0.08,-0.8162
Nolan Jones,L,COL,26,79,297,256,58,13,1,3,28,28,91,36,5,4,7,1,1,3,27.089,7,0.227,0.321,0.32,0.641,0.287,-0.8249
Gavin Sheets,L,CHW,28,139,501,451,105,24,1,10,35,45,106,43,2,2,6,4,0,3,50.386,39,0.233,0.303,0.357,0.66,0.291,-0.8816
Ty France,R,- - -,29,140,535,479,112,24,0,13,46,51,114,38,1,1,16,13,0,5,52.227,3,0.234,0.305,0.365,0.67,0.296,-0.8982
Eloy Jimenez,R,- - -,27,98,349,324,77,14,0,6,25,23,70,22,3,0,13,2,0,1,29.517,,0.238,0.289,0.336,0.625,0.276,-0.9201
Edward Olivares,R,PIT,28,55,196,174,39,4,0,5,22,23,37,16,1,0,3,2,0,4,17.985,9,0.224,0.291,0.333,0.624,0.276,-0.9226
Joey Meneses,R,WSN,32,76,313,281,65,11,0,3,19,42,63,21,2,0,9,5,0,6,25.061,3,0.231,0.291,0.302,0.593,0.264,-0.9756
Omar Narvaez,L,NYM,32,28,69,65,10,2,0,0,4,5,12,3,0,0,2,0,1,0,2.12,2,0.154,0.191,0.185,0.376,0.171,-0.9818
Miguel Vargas,R,- - -,24,72,237,206,31,7,0,5,22,16,57,25,3,1,4,3,0,3,14.446,57,0.15,0.249,0.257,0.506,0.233,-0.9958
Christopher Morel,R,- - -,25,152,611,535,105,11,3,21,56,60,159,61,8,7,15,10,0,5,52.788,547,0.196,0.288,0.346,0.634,0.28,-1.0009
Jordan Beck,R,COL,23,55,184,170,32,6,0,3,14,13,65,12,7,1,3,1,0,1,12.095,798,0.188,0.245,0.276,0.521,0.231,-1.0052
Dylan Carlson,B,- - -,25,96,265,235,49,7,0,3,19,25,75,22,2,1,2,5,0,3,20.556,798,0.209,0.287,0.277,0.564,0.257,-1.0262
Adam Duvall,R,ATL,35,104,330,303,55,10,0,11,29,30,99,21,0,0,6,5,0,1,23.927,97,0.182,0.245,0.323,0.568,0.252,-1.0374
Jack Suwinski,L,PIT,25,88,277,247,45,8,0,9,29,26,79,27,9,1,3,1,1,1,23.037,879,0.182,0.264,0.324,0.588,0.26,-1.1275
Yan Gomes,R,CHC,36,34,96,91,14,2,0,2,7,7,36,2,0,0,2,1,1,1,3.722,2,0.154,0.179,0.242,0.421,0.184,-1.1805
Hunter Goodman,R,COL,24,70,224,211,40,9,0,13,24,36,64,8,1,1,5,3,0,2,18.567,2973,0.19,0.228,0.417,0.645,0.274,-1.202
Bryan De La Cruz,R,- - -,27,149,622,584,136,25,0,21,61,68,170,29,5,2,10,3,0,5,59.602,79,0.233,0.271,0.384,0.655,0.283,-1.2321
Tim Anderson,R,MIA,31,65,241,234,50,3,0,0,16,9,68,7,4,4,6,0,0,0,11.097,6,0.214,0.237,0.226,0.463,0.208,-1.4513
Noelvi Marte,R,CIN,22,66,242,229,48,9,0,4,24,18,75,9,9,3,1,3,0,1,17.892,5,0.21,0.248,0.301,0.549,0.243,-1.4871
Martin Maldonado,R,CHW,37,48,147,135,16,3,0,4,9,11,51,8,0,0,5,1,3,0,4.748,2,0.119,0.174,0.23,0.404,0.181,-1.498
Jose Abreu,R,HOU,37,35,120,113,14,2,0,2,10,7,28,4,0,0,4,2,0,1,3.211,3,0.124,0.167,0.195,0.362,0.164,-1.51
Elehuris Montero,R,COL,25,67,247,224,46,10,0,4,23,28,56,20,0,0,7,0,0,3,17.858,3,0.205,0.267,0.304,0.571,0.254,-1.8747
Eddie Rosario,L,- - -,32,91,319,297,52,12,0,10,33,35,77,16,9,1,4,0,2,4,20.926,798,0.175,0.215,0.316,0.531,0.23,-2.0242
Brandon Drury,R,LAA,31,97,360,325,55,7,0,4,28,15,81,27,1,0,13,5,0,3,17.349,453,0.169,0.242,0.228,0.47,0.217,-2.089