Team,Tm,season,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TSpct,OEFGpct,OTOV_rate,ORBpct,OFT_rate,DeFGpct,DTOV_rate,DRBpct,DFT_rate,Arena,Attendance,Avg_attendance
Denver Nuggets*,DEN,2022,27.7,48,34,47,35,2.3,-0.15,2.16,114.5,112.1,2.4,97.8,0.244,0.416,0.59,0.556,13.2,21.9,0.194,0.537,11.7,78.3,0.188,Ball Arena,695262,16957.60976
Toronto Raptors*,TOR,2022,24.8,48,34,47,35,2.29,0.08,2.38,112.9,110.5,2.4,96,0.234,0.375,0.543,0.51,11,28.4,0.177,0.535,14.4,75.6,0.199,Scotiabank Arena,547343,13349.82927
Cleveland Cavaliers,CLE,2022,24.7,44,38,47,35,2.12,-0.08,2.04,111.9,109.7,2.2,96.1,0.261,0.387,0.571,0.538,13.2,24,0.198,0.52,12.3,76.5,0.172,Rocket Mortgage Fieldhouse,758228,18493.36585
Atlanta Hawks*,ATL,2022,26.1,43,39,45,37,1.56,-0.01,1.55,116.5,114.9,1.6,97.7,0.253,0.39,0.581,0.543,10.8,23,0.205,0.543,11.5,76.9,0.177,State Farm Arena,672742,16408.34146
Brooklyn Nets*,BRK,2022,29.1,44,38,43,39,0.78,0.04,0.82,113.6,112.8,0.8,99,0.246,0.359,0.576,0.54,12.5,23.9,0.198,0.521,11.7,75.1,0.201,Barclays Center,711539,17354.60976
Charlotte Hornets,CHA,2022,25.5,43,39,42,40,0.44,0.09,0.53,114.1,113.7,0.4,100,0.234,0.418,0.572,0.544,11.6,23.3,0.173,0.544,13.1,74.8,0.187,Spectrum Center,700755,17091.58537
San Antonio Spurs,SA,2022,24.5,34,48,41,41,0.12,-0.1,0.02,112.4,112.3,0.1,100,0.22,0.345,0.556,0.527,11.1,23.7,0.166,0.532,12.1,75.1,0.176,AT&T Center,615588,15014.34146
Los Angeles Clippers,LAC,2022,27.5,42,40,41,41,0.02,0.06,0.09,110.1,110.1,0,98,0.224,0.391,0.564,0.531,12.5,20.6,0.178,0.514,12,74.4,0.167,Crypto.com Arena,694005,16926.95122
New York Knicks,NY,2022,26,37,45,41,41,-0.12,0.11,-0.01,110.4,110.5,-0.1,95.9,0.28,0.428,0.55,0.513,12,25.1,0.208,0.521,11.7,78.8,0.198,Madison Square Garden (IV),763484,18621.56098
Chicago Bulls*,CHI,2022,26.3,46,36,40,42,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,0.248,0.332,0.579,0.541,11.8,20.4,0.201,0.541,11.9,78.3,0.199,United Center,856148,20881.65854
New Orleans Pelicans*,NO,2022,25.6,36,46,38,44,-0.99,0.15,-0.84,112,113,-1,97.2,0.264,0.365,0.557,0.517,12.5,26.9,0.208,0.547,13,78.2,0.196,Smoothie King Center,635941,15510.7561
Los Angeles Lakers,LAL,2022,30.2,33,49,33,49,-3.05,-0.03,-3.08,110.3,113.3,-3,100.1,0.259,0.388,0.567,0.537,12.8,21.1,0.19,0.54,12.2,75.8,0.192,Crypto.com Arena,764631,18649.53659
Washington Wizards,WSH,2022,25.9,35,47,32,50,-3.38,0.15,-3.23,111.1,114.5,-3.4,97,0.252,0.356,0.568,0.532,12.1,20.9,0.197,0.529,10.7,76.9,0.202,Capital One Arena,637215,15541.82927
Indiana Pacers,IND,2022,26,25,57,32,50,-3.48,0.22,-3.26,112.6,116.1,-3.5,98,0.239,0.395,0.564,0.531,12.7,25.5,0.184,0.552,11.9,76.2,0.204,Gainbridge Fieldhouse,588743,14359.58537
Sacramento Kings,SAC,2022,25.8,30,52,28,54,-5.46,0.2,-5.26,109.9,115.3,-5.4,99.8,0.264,0.377,0.561,0.525,12.5,21.3,0.203,0.551,11.9,76,0.176,Golden 1 Center,577583,14087.39024
Detroit Pistons,DET,2022,23.6,23,59,22,60,-7.72,0.37,-7.36,106,113.8,-7.8,98.4,0.249,0.391,0.533,0.494,12.6,23.4,0.194,0.541,13.1,75.6,0.226,Little Caesars Arena,663556,16184.29268
Orlando Magic,ORL,2022,23.3,22,60,21,61,-8,0.33,-7.67,104.5,112.5,-8,99.2,0.223,0.417,0.538,0.503,13,19.8,0.175,0.532,11.7,77.2,0.196,Amway Center,622881,15192.21951
Oklahoma City Thunder,OKC,2022,22.4,24,58,21,61,-8.1,0.2,-7.9,104.6,112.8,-8.2,98.6,0.223,0.419,0.53,0.497,12.5,21.8,0.169,0.533,11.8,76.1,0.169,Paycom Center,595112,14514.92683
Houston Rockets,HOU,2022,24.1,20,62,21,61,-8.48,0.22,-8.26,108.4,116.7,-8.3,100.9,0.284,0.448,0.565,0.534,14.5,21.7,0.202,0.554,12.3,74.4,0.206,Toyota Center,638977,15584.80488
Portland Trail Blazers,POR,2022,25.6,27,55,20,62,-8.88,0.33,-8.55,107.8,116.9,-9.1,98.3,0.248,0.422,0.55,0.515,13,22.9,0.188,0.559,12.7,76.9,0.222,Moda Center,705608,17209.95122
League Average,,2022,26.3,NA,NA,41,41,0,0,0,112,112,NA,98.2,0.248,0.399,0.566,0.532,12.3,23.2,0.192,0.532,12.3,76.8,0.192,,695475,16962.80488
Utah Jazz*,UTAH,2021,28.5,52,20,55,17,9.25,-0.29,8.97,117.6,108.3,9.3,98.5,0.244,0.488,0.597,0.563,12.7,24.5,0.195,0.507,10.3,79.3,0.159,Vivint Smart Home Arena,151300,3690.243902
Los Angeles Clippers*,LAC,2021,28.8,47,25,49,23,6.18,-0.16,6.02,117.6,111.2,6.4,96.9,0.222,0.4,0.599,0.564,12.2,22.7,0.186,0.531,11.9,79.1,0.186,STAPLES Center,13901,339.0487805
Phoenix Suns*,PHX,2021,26.6,51,21,49,23,5.82,-0.15,5.67,117.2,111.3,5.9,97.2,0.212,0.392,0.597,0.564,11.5,20.8,0.177,0.534,12.4,78.5,0.194,Phoenix Suns Arena,104027,2537.243902
Milwaukee Bucks*,MIL,2021,28.1,46,26,48,24,5.89,-0.32,5.57,117.2,111.4,5.8,102.2,0.233,0.404,0.593,0.566,12,23.3,0.177,0.536,11.5,79.7,0.157,Fiserv Forum,64780,1580
Philadelphia 76ers*,PHI,2021,27.1,49,23,48,24,5.58,-0.31,5.28,113.2,107.6,5.6,99.5,0.293,0.347,0.579,0.541,12.8,23.2,0.225,0.521,13.8,78.2,0.2,Wells Fargo Center,68583,1672.756098
Denver Nuggets*,DEN,2021,26.1,47,25,47,25,4.93,-0.11,4.82,117.1,112.1,5,97.1,0.219,0.383,0.588,0.557,12.1,24.7,0.176,0.545,12.9,78.9,0.2,Ball Arena,54563,1330.804878
Brooklyn Nets*,BRK,2021,28.2,48,24,46,26,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,Barclays Center,30491,743.6829268
Los Angeles Lakers*,LAL,2021,28.2,42,30,42,30,2.79,-0.03,2.77,109.9,107.1,2.8,98.7,0.271,0.363,0.569,0.536,13.6,22.5,0.2,0.526,13.7,79.7,0.184,STAPLES Center,23313,568.6097561
Dallas Mavericks*,DAL,2021,26.3,42,30,41,31,2.26,-0.01,2.26,115.4,113,2.4,97.3,0.242,0.436,0.582,0.55,11.1,21.1,0.189,0.534,11.5,77.8,0.197,American Airlines Center,94849,2313.390244
New York Knicks*,NY,2021,25.6,41,31,41,31,2.31,-0.18,2.13,110.6,108.2,2.4,95.9,0.242,0.347,0.559,0.524,11.9,21.9,0.19,0.509,11.7,78.6,0.196,Madison Square Garden (IV),42131,1027.585366
Atlanta Hawks*,ATL,2021,25.4,41,31,41,31,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,State Farm Arena,59288,1446.04878
Portland Trail Blazers*,POR,2021,27.4,42,30,40,32,1.79,0.01,1.81,117.8,116,1.8,98.4,0.238,0.448,0.577,0.54,9.9,23,0.195,0.546,11.2,77.5,0.203,Moda Center,5817,141.8780488
Boston Celtics*,BOS,2021,25.1,36,36,39,33,1.46,-0.14,1.32,114,112.5,1.5,98.3,0.234,0.409,0.574,0.543,12.5,24.3,0.181,0.539,12.8,78.1,0.215,TD Garden,30067,733.3414634
Golden State Warriors,GS,2021,26.7,39,33,38,34,1.06,0.04,1.1,111.1,110.1,1,102.2,0.239,0.439,0.583,0.551,13.3,17.9,0.188,0.522,13.1,76.6,0.223,Chase Center,33457,816.0243902
Memphis Grizzlies*,MEM,2021,24.2,38,34,38,34,1.03,0.04,1.07,112,111,1,100.4,0.232,0.342,0.56,0.528,11.6,24.2,0.179,0.535,13.1,78.3,0.196,FedEx Forum,61449,1498.756098
Miami Heat*,MIA,2021,27.4,40,32,36,36,0.03,-0.09,-0.06,111.2,111.2,0,96.6,0.252,0.432,0.581,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,AmericanAirlines Arena,NA,NA
Indiana Pacers,IND,2021,26.5,34,38,36,36,-0.04,-0.08,-0.13,112.4,112.4,0,101.6,0.227,0.372,0.575,0.542,11.9,20.2,0.18,0.531,12.7,74.9,0.201,Bankers Life Fieldhouse,NA,NA
New Orleans Pelicans,NO,2021,24.8,31,41,35,37,-0.29,0.1,-0.2,113.5,113.8,-0.3,100.1,0.293,0.342,0.57,0.537,12.7,26.3,0.214,0.55,11.9,80,0.186,Smoothie King Center,93120,2271.219512
Toronto Raptors,TOR,2021,26.6,27,45,35,37,-0.47,-0.07,-0.54,112,112.5,-0.5,99.2,0.241,0.444,0.567,0.529,11.9,20.8,0.196,0.543,14.4,76.3,0.234,Amalie Arena,26024,634.7317073
Chicago Bulls,CHI,2021,25.6,31,41,34,38,-0.89,-0.05,-0.94,111.1,112,-0.9,99,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,United Center,13655,333.0487805
San Antonio Spurs,SA,2021,26.2,33,39,32,40,-1.74,0.15,-1.58,111,112.8,-1.8,98.9,0.243,0.314,0.554,0.517,10.2,20,0.192,0.541,11.8,77.3,0.174,AT&T Center,61053,1489.097561
Washington Wizards*,WSH,2021,26.6,34,38,32,40,-1.83,-0.01,-1.85,111.2,113,-1.8,104.1,0.288,0.319,0.569,0.531,12.3,21.3,0.221,0.539,12.5,77.6,0.217,Capital One Arena,19198,468.2439024
Charlotte Hornets,CHA,2021,24.6,33,39,32,40,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,Spectrum Center,68255,1664.756098
Sacramento Kings,SAC,2021,25.6,31,41,28,44,-3.68,0.23,-3.45,113.6,117.2,-3.6,100,0.248,0.376,0.578,0.549,12,21.3,0.185,0.557,12.1,75,0.199,Golden 1 Center,NA,NA
Detroit Pistons,DET,2021,24.5,20,52,26,46,-4.47,0.09,-4.38,108,112.5,-4.5,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,Little Caesars Arena,14250,347.5609756
Minnesota Timberwolves,MIN,2021,23.2,23,49,24,48,-5.56,0.31,-5.25,109.5,115,-5.5,101.6,0.254,0.413,0.555,0.52,12.4,22.7,0.193,0.556,13.3,76.8,0.207,Target Center,15774,384.7317073
Houston Rockets,HOU,2021,26.5,17,55,20,52,-7.9,0.4,-7.5,107.1,114.9,-7.8,101.4,0.252,0.459,0.553,0.521,13,19.8,0.187,0.555,12.9,77.1,0.201,Toyota Center,117009,2853.878049
Cleveland Cavaliers,CLE,2021,24,22,50,18,54,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13,76.6,0.183,Rocket Mortgage Fieldhouse,91476,2231.121951
Orlando Magic,ORL,2021,25.6,21,51,17,55,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,0.24,0.356,0.527,0.49,11.5,21.6,0.186,0.547,11.5,78.2,0.169,Amway Center,126463,3084.463415
Oklahoma City Thunder,OKC,2021,22.8,22,50,15,57,-10.64,0.51,-10.13,103.5,114,-10.5,101,0.242,0.399,0.539,0.509,14.2,21.2,0.176,0.547,11.5,77.9,0.167,Chesapeake Energy Arena,NA,NA
League Average,,2021,26.3,NA,NA,36,36,0,0,0,112.3,112.3,NA,99.2,0.247,0.392,0.572,0.538,12.4,22.2,0.192,0.538,12.4,77.8,0.192,,49476,1206.731707
Milwaukee Bucks*,MIL,2020,29.2,56,17,57,16,10.08,-0.67,9.41,112.4,102.9,9.5,105.1,0.271,0.428,0.583,0.552,12.9,20.7,0.201,0.489,12,81.6,0.178,Fiserv Forum,549036,13391.12195
Boston Celtics*,BOS,2020,25.3,48,24,50,22,6.31,-0.47,5.83,113.3,107,6.3,99.5,0.259,0.386,0.57,0.531,12.2,23.9,0.207,0.509,13.5,77.4,0.215,TD Garden,610864,14899.12195
Los Angeles Clippers*,LAC,2020,27.4,49,23,50,22,6.44,0.21,6.66,113.9,107.6,6.3,101.5,0.295,0.375,0.577,0.535,12.6,23.5,0.233,0.506,12.2,77.6,0.206,STAPLES Center,610176,14882.34146
Toronto Raptors*,TOR,2020,26.6,53,19,50,22,6.24,-0.26,5.97,111.1,105,6.1,100.9,0.264,0.421,0.574,0.536,13.1,21.3,0.21,0.502,14.6,76.7,0.202,Scotiabank Arena,633456,15450.14634
Los Angeles Lakers*,LAL,2020,29.5,52,19,48,23,5.79,0.49,6.28,112,106.3,5.7,100.9,0.276,0.358,0.573,0.542,13.3,24.5,0.201,0.515,14.1,78.8,0.205,STAPLES Center,588907,14363.58537
Dallas Mavericks*,DAL,2020,26.1,43,32,49,26,4.95,-0.07,4.87,116.7,111.7,5,99.3,0.264,0.457,0.581,0.545,11.2,23.2,0.206,0.525,10.6,77.7,0.175,American Airlines Center,682096,16636.4878
Miami Heat*,MIA,2020,25.9,44,29,43,30,2.95,-0.35,2.59,112.5,109.5,3,98.3,0.299,0.419,0.587,0.547,13.5,20.3,0.234,0.523,12.6,79.5,0.213,AmericanAirlines Arena,629771,15360.26829
Houston Rockets*,HOU,2020,29.2,44,28,42,30,2.96,0.17,3.13,112.9,110.1,2.8,103.7,0.288,0.501,0.578,0.537,12.6,21,0.228,0.529,13.7,75.6,0.197,Toyota Center,578458,14108.73171
Utah Jazz*,UTAH,2020,27.3,44,28,42,30,2.47,0.05,2.52,112.3,109.9,2.4,98.6,0.268,0.414,0.585,0.549,13.7,21.6,0.208,0.518,11.1,78.9,0.185,Vivint Smart Home Arena,567486,13841.12195
Philadelphia 76ers*,PHI,2020,26.3,43,30,42,31,2.38,-0.13,2.25,111.3,109,2.3,99,0.255,0.36,0.566,0.534,12.7,23.9,0.193,0.523,12.5,80.3,0.214,Wells Fargo Center,639491,15597.34146
Denver Nuggets*,DEN,2020,25.6,46,27,41,32,2.11,0.24,2.35,113.1,111,2.1,97.1,0.235,0.344,0.567,0.535,12.3,24.8,0.183,0.533,12.9,76.8,0.198,Pepsi Center,633153,15442.7561
Indiana Pacers*,IND,2020,25.6,45,28,41,32,1.96,-0.33,1.63,110,108,2,98.9,0.216,0.317,0.565,0.534,12,20,0.17,0.511,13,76.7,0.192,Bankers Life Fieldhouse,529002,12902.4878
Oklahoma City Thunder*,OKC,2020,25.5,44,28,41,31,1.99,0.34,2.33,110.8,108.8,2,98.8,0.29,0.353,0.573,0.53,12.4,19.3,0.231,0.518,12.6,76.8,0.173,Chesapeake Energy Arena,600699,14651.19512
Phoenix Suns,PHX,2020,24.6,34,39,37,36,0.22,0.35,0.56,111.7,111.4,0.3,101.3,0.271,0.361,0.576,0.532,13,22.2,0.226,0.539,13.7,78.8,0.221,Talking Stick Resort Arena,550633,13430.07317
Brooklyn Nets*,BRK,2020,26.3,35,37,35,37,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,0.267,0.423,0.554,0.52,13.1,23.2,0.199,0.511,11,77.8,0.187,Barclays Center,524907,12802.60976
Orlando Magic*,ORL,2020,26.1,33,40,34,39,-1.01,0.09,-0.93,108.5,109.5,-1,98.6,0.256,0.364,0.544,0.506,11.5,22.3,0.198,0.535,13.2,79.1,0.176,Amway Center,529870,12923.65854
San Antonio Spurs,SA,2020,27.6,32,39,33,38,-1.11,0.46,-0.65,112.4,113.5,-1.1,100.5,0.262,0.318,0.572,0.531,11.2,20.1,0.212,0.542,11.7,79.2,0.193,AT&T Center,550515,13427.19512
Memphis Grizzlies,MEM,2020,24.1,34,39,34,39,-1.07,0.16,-0.91,109.2,110.3,-1.1,102.8,0.24,0.346,0.561,0.528,13.2,23,0.183,0.521,12.7,77.8,0.217,FedEx Forum,523297,12763.34146
Portland Trail Blazers*,POR,2020,27.5,35,39,34,40,-1.15,0.54,-0.61,113.7,114.8,-1.1,100.7,0.242,0.374,0.57,0.533,11.2,22.4,0.194,0.53,11.2,75.3,0.208,Moda Center,628303,15324.46341
New Orleans Pelicans,NO,2020,25.4,30,42,33,39,-1.29,0.74,-0.55,110.7,111.9,-1.2,103.7,0.256,0.403,0.568,0.539,13.9,24.2,0.186,0.532,12.4,77.8,0.212,Smoothie King Center,528172,12882.2439
Sacramento Kings,SAC,2020,27,31,41,31,41,-2.04,0.46,-1.59,110.2,112.2,-2,98.9,0.23,0.395,0.566,0.534,13,21.9,0.177,0.543,13.6,78.4,0.225,Golden 1 Center,520663,12699.09756
Chicago Bulls,CHI,2020,24.4,22,43,26,39,-3.08,-0.93,-4,106.7,109.8,-3.1,99.7,0.231,0.396,0.547,0.515,13.7,22.8,0.175,0.546,16.3,75.6,0.239,United Center,639352,15593.95122
Detroit Pistons,DET,2020,25.9,20,46,26,40,-3.56,-0.82,-4.38,109,112.7,-3.7,97.6,0.261,0.381,0.561,0.529,13.8,22.6,0.194,0.541,12.7,75.9,0.186,Little Caesars Arena,509469,12426.07317
Minnesota Timberwolves,MIN,2020,24.8,19,45,24,40,-4.3,0.28,-4.02,108.1,112.2,-4.1,103.4,0.277,0.433,0.551,0.514,13,22.1,0.209,0.541,13.2,77.2,0.218,Target Center,482112,11758.82927
Washington Wizards,WSH,2020,25.1,25,47,26,46,-4.67,-0.57,-5.24,110.9,115.5,-4.6,102.7,0.27,0.358,0.562,0.523,12.2,22.2,0.213,0.558,13.9,75.3,0.231,Capital One Arena,532702,12992.73171
New York Knicks,NY,2020,24.5,21,45,20,46,-6.45,-0.26,-6.72,106.5,113,-6.5,98.6,0.263,0.318,0.531,0.501,12.6,25.8,0.182,0.541,12.4,78.3,0.224,Madison Square Garden (IV),620789,15141.19512
Charlotte Hornets,CHA,2020,24.3,23,42,19,46,-6.75,-0.28,-7.03,106.3,113.3,-7,95.8,0.252,0.399,0.539,0.504,13.3,23.9,0.188,0.546,13.1,74.4,0.159,Spectrum Center,478591,11672.95122
Atlanta Hawks,ATL,2020,24.1,20,47,18,49,-7.97,0.27,-7.71,107.2,114.8,-7.6,103,0.258,0.398,0.554,0.515,13.8,21.6,0.204,0.543,12.7,74.9,0.233,State Farm Arena,545453,13303.73171
Cleveland Cavaliers,CLE,2020,25,19,46,18,47,-7.89,0.12,-7.77,107.5,115.4,-7.9,98.7,0.227,0.362,0.553,0.522,14.6,24.6,0.172,0.56,11.7,77.4,0.164,Rocket Mortgage Fieldhouse,643008,15683.12195
Golden State Warriors,GS,2020,24.4,15,50,16,49,-8.71,0.59,-8.12,105.2,113.8,-8.6,100.3,0.264,0.355,0.54,0.497,13.2,21.5,0.212,0.553,13.7,76.4,0.193,Chase Center,614176,14979.90244
League Average,,2020,26.2,NA,NA,35,35,0,0,0,110.6,110.6,NA,100.3,0.26,0.384,0.565,0.529,12.8,22.5,0.201,0.529,12.8,77.5,0.201,,575820,14044.39024
Milwaukee Bucks*,MIL,2019,26.9,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,0.55,12,20.8,0.197,0.503,11.5,80.3,0.162,Fiserv Forum,721692,17602.2439
Golden State Warriors*,GS,2019,28.4,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,0.565,12.6,22.5,0.182,0.508,11.7,77.1,0.205,Oracle Arena,803436,19596
Toronto Raptors*,TOR,2019,27.3,58,24,56,26,6.09,-0.6,5.49,113.1,107.1,6,100.2,0.247,0.379,0.579,0.543,12.4,21.9,0.198,0.509,13.1,77.1,0.19,Scotiabank Arena,812822,19824.92683
Utah Jazz*,UTAH,2019,27.3,50,32,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,0.538,13.4,22.9,0.217,0.507,12.4,80.3,0.189,Vivint Smart Home Arena,750546,18306
Houston Rockets*,HOU,2019,29.2,53,29,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,0.542,12,22.8,0.221,0.525,13.4,74.4,0.21,Toyota Center,740392,18058.34146
Boston Celtics*,BOS,2019,25.7,49,33,52,30,4.44,-0.54,3.9,112.2,107.8,4.4,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.173,0.514,13.4,77,0.198,TD Garden,763584,18624
Portland Trail Blazers*,POR,2019,26.2,53,29,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,0.528,12.1,26.6,0.21,0.516,11,77.9,0.195,Moda Center,799345,19496.21951
Denver Nuggets*,DEN,2019,24.9,54,28,51,31,3.95,0.24,4.19,113,108.9,4.1,97.7,0.232,0.348,0.558,0.527,11.9,26.6,0.175,0.521,12.3,78,0.194,Pepsi Center,756457,18450.17073
Indiana Pacers*,IND,2019,27,48,34,50,32,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.182,0.516,14.1,76.2,0.184,Bankers Life Fieldhouse,689310,16812.43902
Oklahoma City Thunder*,OKC,2019,25.7,49,33,50,32,3.4,0.15,3.56,110.3,107,3.3,102.8,0.266,0.347,0.545,0.514,11.7,26,0.19,0.523,14.4,78.2,0.206,Chesapeake Energy Arena,746323,18203
Philadelphia 76ers*,PHI,2019,26.4,51,31,48,34,2.7,-0.44,2.25,112.6,110,2.6,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.241,0.512,11.1,78.6,0.206,Wells Fargo Center,838342,20447.36585
San Antonio Spurs*,SA,2019,28.8,48,34,45,37,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.286,0.572,0.534,11,21,0.194,0.528,11,79.4,0.17,AT&T Center,750616,18307.70732
Los Angeles Clippers*,LAC,2019,27.2,48,34,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,0.529,12.7,22,0.258,0.514,11.4,76,0.224,STAPLES Center,710327,17325.04878
Orlando Magic*,ORL,2019,25.7,42,40,43,39,0.71,-0.43,0.28,108.9,108.1,0.8,98.1,0.216,0.36,0.55,0.518,11.9,22,0.168,0.515,11.8,79.7,0.186,Amway Center,720024,17561.56098
Brooklyn Nets*,BRK,2019,25.4,42,40,41,41,-0.07,-0.33,-0.4,109.6,109.7,-0.1,100.8,0.284,0.403,0.556,0.52,13,23.8,0.211,0.512,11.6,76.4,0.19,Barclays Center,612597,14941.39024
Detroit Pistons*,DET,2019,26.9,41,41,40,42,-0.24,-0.31,-0.56,109,109.2,-0.2,97.4,0.262,0.394,0.544,0.509,12.3,24.8,0.195,0.526,12.8,78.7,0.211,Little Caesars Arena,675963,16486.90244
Miami Heat,MIA,2019,27,39,43,40,42,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,0.515,13.1,24.8,0.172,0.51,12.7,77.6,0.201,AmericanAirlines Arena,805264,19640.58537
Sacramento Kings,SAC,2019,24.8,39,43,38,44,-1.12,0.31,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,0.554,0.524,11.5,23.1,0.177,0.533,13.6,75.5,0.207,Golden 1 Center,700975,17096.95122
Charlotte Hornets,CHA,2019,26.6,39,43,38,44,-1.1,-0.22,-1.32,111.4,112.5,-1.1,98.7,0.257,0.378,0.554,0.514,10.9,21.7,0.205,0.538,12.1,77.1,0.179,Spectrum Center,676570,16501.70732
New Orleans Pelicans,NO,2019,25.7,33,49,38,44,-1.33,0.23,-1.1,111.4,112.6,-1.2,103.3,0.254,0.324,0.563,0.529,12.6,24.1,0.193,0.532,11.6,76.8,0.193,Smoothie King Center,656183,16004.46341
