rank,player_id,player,money,victories
1,46046,Scottie Scheffler,29228357,7
2,48081,Xander Schauffele,18385320,2
3,32839,Hideki Matsuyama,11257969,2
4,51766,Wyndham Clark,10901416,1
5,28237,Rory McIlroy,10893790,2
6,52955,Ludvig Åberg,9833547,
7,51634,Sahith Theegala,8474215,
8,50525,Collin Morikawa,8383572,
9,33141,Keegan Bradley,6879455,1
10,39971,Sungjae Im,6286205,
11,35450,Patrick Cantlay,6279965,
12,47504,Sam Burns,6185830,
13,33204,Shane Lowry,6095881,1
14,30926,Chris Kirk,6061136,1
15,33948,Byeong Hun An,5871643,
16,29725,Tony Finau,5706467,
17,52215,Robert MacIntyre,5400384,2
18,56630,Akshay Bhatia,5344905,1
19,49771,J.T. Poston,5271598,1
20,48153,Matthieu Pavon,5254412,1
21,33448,Justin Thomas,5223561,
22,27644,Brian Harman,5201770,
23,34098,Russell Henley,5080969,
24,57362,Austin Eckroat,5054871,2
25,29420,Billy Horschel,5037278,1
26,45522,Christiaan Bezuidenhout,5026363,
27,35532,Tom Hoge,4841123,
28,40250,Taylor Pendrith,4797854,1
29,24502,Adam Scott,4753172,
30,36799,Stephan Jaeger,4732554,1
31,46442,Maverick McNealy,4708358,1
32,46717,Viktor Hovland,4616727,
33,46414,Aaron Rai,4613515,1
34,30911,Tommy Fleetwood,4609158,
35,49960,Sepp Straka,4601079,
36,47483,Will Zalatoris,4569320,
37,37455,Si Woo Kim,4526733,
38,58168,Davis Thompson,4420940,1
39,51977,Max Greyserman,4297356,
40,55182,Tom Kim,4124968,
41,28089,Jason Day,4117518,
42,39997,Corey Conners,4061539,
43,57366,Cameron Young,4057224,
44,33399,Adam Hadwin,4052108,
45,45157,Cam Davis,4039533,1
46,47993,Denny McCarthy,4022193,
47,39977,Max Homa,3843467,
48,35506,Mackenzie Hughes,3769962,
49,47591,Eric Cole,3726147,
50,40098,Matt Fitzpatrick,3705463,
51,27349,Alex Noren,3649210,
52,33653,Thomas Detry,3614669,
53,51349,Nico Echavarria,3583634,1
54,54591,Ben Griffin,3459847,
55,34099,Harris English,3402062,
56,45242,Kevin Yu,3285759,1
57,25493,Nick Taylor,3249358,1
58,36699,Patrick Rodgers,3247174,
59,47420,Jake Knapp,3102773,1
60,22405,Justin Rose,3058683,
61,28252,Seamus Power,3033654,
62,59866,Nick Dunlap,2930385,2
63,25900,Lucas Glover,2876201,
64,49947,Taylor Moore,2843944,
65,36801,Mark Hubbard,2757076,
66,34046,Jordan Spieth,2732591,
67,27129,Luke List,2637149,
68,37378,Min Woo Lee,2611021,
69,35461,Beau Hossler,2607962,
70,40006,Erik van Rooyen,2572256,
71,34466,Peter Malnati,2520248,1
72,51997,Andrew Novak,2507992,
73,54628,Lee Hodges,2479597,
74,48117,Kurt Kitayama,2474411,
75,34213,Grayson Murray,2471532,1
76,30927,Brendon Todd,2461227,
77,52375,Doug Ghim,2435308,
78,40162,Justin Lower,2418975,
79,31646,Emiliano Grillo,2355824,
80,39546,Keith Mitchell,2340999,
81,27064,Jhonattan Vegas,2309280,1
82,47995,Davis Riley,2163701,1
83,47679,Victor Perez,2068163,
84,34256,Andrew Putnam,2054544,
85,40115,Adam Svensson,2014485,
86,52513,Carson Young,1937622,
87,54576,Patrick Fishburn,1928584,
88,32757,Patton Kizzire,1908579,1
89,47347,Adam Schenk,1861382,
90,32070,Rafael Campos,1857846,1
91,36884,Ben Kohles,1853159,
92,12716,Charley Hoffman,1805659,
93,29908,C.T. Pan,1801097,
94,51696,Rico Hoey,1792875,
95,57975,Harry Hall,1779095,1
96,32102,Rickie Fowler,1767709,
97,52453,Nicolai Højgaard,1741996,
98,57900,Chandler Phillips,1714290,
99,55893,Sam Stevens,1701220,
100,40026,Daniel Berger,1665242,
101,48867,Matti Schmid,1646191,
102,39324,J.J. Spaun,1645746,
103,51287,Ryo Hisatsune,1637598,
104,36326,David Lipsky,1543061,
105,32791,K.H. Lee,1519732,
106,39975,Michael Kim,1484233,
107,51894,Vince Whaley,1474033,
108,28775,Nate Lashley,1471105,
109,23108,Matt Kuchar,1469667,
110,59143,Mac Meissner,1456769,
111,34587,Chan Kim,1405653,
112,29936,Ryan Fox,1378822,
113,59141,Matt McCarty,1366340,1
114,51890,Greyson Sigg,1349623,
115,29535,Brice Garnett,1340330,1
116,34076,Joel Dahmen,1340088,
117,60067,Joe Highsmith,1340018,
118,57364,Michael Thorbjornsen,1281590,
119,52666,Sami Valimaki,1273129,
120,47983,Chad Ramey,1266025,
121,39327,Ben Silverman,1262599,
122,60004,Jacob Bridgeman,1250191,
123,27139,David Skinns,1225402,
124,34363,Tyrrell Hatton,1191868,
125,59095,Chris Gotterup,1170837,1
126,55789,Taylor Montgomery,1154178,
127,50188,S.H. Kim,1150991,
128,50484,Hayden Springer,1149279,
129,40058,Zac Blair,1137653,
130,37275,Sam Ryder,1136740,
131,46340,Alex Smalley,1102220,
132,38991,Alejandro Tosti,1086746,
133,30163,Henrik Norlander,1082157,
134,59836,Pierceson Coody,1052529,
135,48887,Matt Wallace,1036722,
136,54783,Dylan Wu,1029380,
137,55454,Carl Yuan,1013322,
138,48084,Wesley Bryan,989580,
139,32333,Kevin Tway,973927,
140,54421,Garrick Higgo,947868,
141,31323,Gary Woodland,915153,
142,36871,Matt NeSmith,855341,
143,50497,Adrien Dumont de Chassart,822656,
144,46441,Robby Shelton,791414,
145,47988,Nick Hardy,770435,
146,27936,Martin Laird,770034,
147,27214,Kevin Streelman,761677,
148,52374,Brandon Wu,750748,
149,32640,Troy Merritt,741117,
150,34374,Erik Barnes,719536,
151,26596,Ryan Moore,702589,
152,52514,Trace Crowe,698201,
153,35617,Martin Trainer,692415,
154,55708,Hayden Buckley,686629,
155,34255,Joseph Bramlett,647205,
156,34021,Bud Cauley,638703,
157,34563,Chesson Hadley,628066,
158,29221,Webb Simpson,606011,
159,32367,Jorge Campillo,605997,
160,33413,Ben Martin,605828,
161,51600,Jimmy Stanger,604066,
162,35310,Lanto Griffin,570142,
163,32366,Kevin Chappell,521738,
164,28420,Ryan Brehm,518538,
165,33968,Thorbjørn Olesen,500887,
166,24024,Zach Johnson,496380,
167,26476,Chez Reavie,495555,
168,48319,Tom Whitney,493082,
169,46113,Ryan McCormick,473255,
170,22371,Aaron Baddeley,471410,
171,50493,Justin Suh,467291,
172,33408,Tyson Alexander,432172,
173,45609,Tyler Duncan,428016,
174,35879,Kelly Kraft,417905,
175,34310,Alexander Björk,414659,
176,50095,Austin Smotherman,414237,
177,59442,Parker Coody,380854,
178,20229,Stewart Cink,378476,
179,52372,Cameron Champ,352843,
180,33486,Roger Sloan,352344,
181,37212,Paul Barjon,328507,
182,29289,S.Y. Noh,315960,
183,48699,Callum Tarren,287924,
184,25198,Francesco Molinari,259679,
185,25818,Scott Piercy,259346,
186,30692,Scott Stallings,258915,
187,48119,Ben Taylor,258058,
188,27649,Brandt Snedeker,238234,
189,54328,Norman Xiong,234154,
190,27770,Camilo Villegas,232296,
191,46435,Austin Cook,230622,
192,29268,Bronson Burgoon,222850,
193,56149,Wilson Furr,221091,
194,47663,Kevin Dougherty,219150,
195,51070,Vincent Norrman,192332,
196,56762,Will Gordon,179220,
197,24140,Sean O'Hair,175537,
198,29478,Kevin Kisner,175278,
199,20766,Padraig Harrington,170534,
200,23320,Ryan Palmer,163716,
201,27095,Nick Watney,137940,
202,47079,Harrison Endycott,112809,
203,60767,Blaine Hale Jr.,108473,
204,39954,Cody Gribble,107722,
205,31202,William McGirt,100592,
206,32448,James Hahn,98669,
207,24924,Bill Haas,98084,
208,47128,Richy Werenski,90455,
209,33122,Russell Knox,87950,
210,32139,Danny Willett,84200,
211,46601,Trey Mullinax,79133,
212,39067,MJ Daffue,74076,
213,37278,Nicholas Lindheim,67855,
214,33597,Harry Higgs,64180,
215,27330,Josh Teater,62192,
216,06373,José María Olazábal,57200,
217,24980,Scott Gutschewski,53135,
218,47806,Raul Pereda,48617,
219,54813,Philip Knowles,47617,
220,33674,Adrian Meronk,45238,
221,34431,Robert Streb,45034,
222,06567,Vijay Singh,45000,
223,08793,Tiger Woods,44400,
224,37338,Zecheng Dou,43568,
225,20472,Alex Cejka,38525,
225,19825,Darren Clarke,38525,
227,24925,Jonathan Byrd,37287,
228,28259,Sangmoon Bae,34900,
229,27974,Sung Kang,33725,
230,35449,Adam Long,32063,
231,23983,Luke Donald,23538,
232,30750,Tommy Gainey,21480,
233,26758,David Hearn,19458,
234,29970,Dylan Frittelli,18924,
235,32816,Satoshi Kodaira,15980,
236,27141,J.B. Holmes,14563,
237,23541,Ben Crane,13662,
238,31557,Jim Herman,10253,
239,25632,Jimmy Walker,9848,
240,35901,Paul Haley II,9160,
241,30110,Kyle Stanley,8800,
242,49303,Anders Albertson,8760,
243,19803,Ryan Armour,8360,
243,31560,Brian Stuard,8360,
245,27963,Chris Stroud,8200,